timestamp,scope,event,count,latency_avg_us,latency_max_us,latency_p50_us,latency_p95_us,latency_p99_us,total_latency_us,bytes_total,error_count,error_rate
1768820068,node,ppoll,2,3168050.00,5000046,5000046,5000046,5000046,6336100,0,1,0.5000
1768820068,node,pselect6,1,1001042.00,1001042,1001042,1001042,1001042,1001042,0,0,0.0000
1768820068,node,sendmsg,2,66.00,75,75,75,75,132,1070,0,0.0000
1768820068,node,block_io,26,174.42,310,152,309,310,4535,122880,0,0.0000
1768820068,node,fdatasync,9,440.56,868,414,868,868,3965,0,0,0.0000
1768820068,node,sendto,2,54.00,57,57,57,57,108,40,0,0.0000
1768820069,node,sched_lat,12543,17.02,4818,6,16,67,213459,0,0,0.0000
1768820069,node,nanosleep,1533,9210.82,4000111,91,10081,10102,14120193,0,0,0.0000
1768820069,node,futex,277,73474.83,9391681,97,198772,1000088,20352528,0,25,0.0903
1768820069,node,softirq,3407,4.56,99,1,18,46,15539,15559,0,0.0000
1768820069,node,read,10,402.90,1118,178,1118,1118,4029,5132,0,0.0000
1768820069,node,dstate_io,34,44.97,233,36,145,233,1529,0,0,0.0000
1768820069,node,io_qdepth,13,0.00,0,0,0,0,0,445,0,0.0000
1768820069,node,block_io,13,149.23,242,142,242,242,1940,131072,0,0.0000
1768820069,node,connect,3,92.33,104,87,104,104,277,0,3,1.0000
1768820069,node,runqlen,65,0.00,0,0,0,0,0,636982,0,0.0000
1768820069,node,select,39,96017.82,1001025,1,1000681,1001025,3744695,0,0,0.0000
1768820069,node,epoll_wait,270,31711.77,1000463,3,100144,451720,8562179,0,0,0.0000
1768820069,node,write,2,104.00,106,106,106,106,208,33,0,0.0000
1768820069,node,poll,584,12677.24,2999934,1,140,395023,7403506,0,0,0.0000
1768820069,node,recvmsg,1,60.00,60,60,60,60,60,107596,0,0.0000
1768820069,node,epoll_pwait,145,14179.39,1000052,0,1086,1000043,2056012,0,0,0.0000
1768820069,node,fdatasync,3,345.67,465,324,465,465,1037,0,0,0.0000
1768820069,node,pselect6,1,1001035.00,1001035,1001035,1001035,1001035,1001035,0,0,0.0000
1768820069,node,sendto,2,67.00,73,73,73,73,134,40,0,0.0000
1768820069,node,sendmsg,2,73.00,75,75,75,75,146,646,0,0.0000
1768820070,node,sched_lat,8346,12.22,5270,6,16,37,101951,0,0,0.0000
1768820070,node,futex,56,91043.50,1023852,32,1000047,1023852,5098436,0,12,0.2143
1768820070,node,read,15,884.87,1783,789,1783,1783,13273,41694,0,0.0000
1768820070,node,softirq,3367,4.50,220,1,19,57,15139,16326,0,0.0000
1768820070,node,nanosleep,604,29641.54,4000113,94,10089,1000083,17903490,0,0,0.0000
1768820070,node,connect,4,85.50,91,91,91,91,342,0,4,1.0000
1768820070,node,runqlen,65,0.00,0,0,0,0,0,678000,0,0.0000
1768820070,node,dstate_io,46,146.91,1116,78,484,1116,6758,0,0,0.0000
